"fid","hospital_name","address","address2","city","state","zip","telephone","type","status","population","county","country","latitude","longitude","website","state_id","beds","trauma","helipad","caring_system","funding","affilition","regular_beds","nicu_beds","opened","pediatric_trauma_level","nicu_level","ranked_specialties","childrens_hospital"
6020,"Hilo Medical Center","1190 Waianuenue Ave","Not Available","Hilo","HI",96720,"(808) 974-4700","General Acute Care Hospital","Open",276,"Hawaii","US",19.7181,-155.113,"http://www.hmc.hhsc.org","Not Available",276,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6021,"Long Island College Hospital","339 Hicks St","Not Available","Brooklyn","NY",11201,"(212) 256-3600","General Acute Care Hospital","Open",506,"Kings","US",40.69,-73.9975,"http://downstate.edu/lich/","1302",506,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6022,"Kahi Mohala","91-2301  Fort Weaver Rd","Not Available","Ewa Beach","HI",96706,"(808) 671-8511","Psychiatric Hospital","Open",66,"Honolulu","US",21.3739,-158.034,"http://www.kahimohala.org","Not Available",66,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6023,"Maimonides Medical Center","4802 10Th Ave","Not Available","Brooklyn","NY",11219,"(718) 283-2838","General Acute Care Hospital","Open",679,"Kings","US",40.6395,-73.9985,"http://www.maimonidesmed.org/","1305",679,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6024,"Kahuku Medical Center","56-117  Pualalea St","Not Available","Kahuku","HI",96731,"(808) 293-9221","Long Term Care Hospital","Open",21,"Honolulu","US",21.6766,-157.954,"http://www.hhsc.org/oahu/kahuku/index.html","Not Available",21,"Not Available","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6025,"Lutheran Medical Center","150 55Th St","Not Available","Brooklyn","NY",11209,"(718) 437-5280","General Acute Care Hospital","Open",396,"Kings","US",40.6466,-74.0209,"http://www.lmcmc.com","1304",396,"I","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6026,"New York Methodist Hospital","506 6Th St","Not Available","Brooklyn","NY",11215,"(718) 780-3000","General Acute Care Hospital","Open",591,"Kings","US",40.6678,-73.979,"http://www.nym.org","1306",591,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6027,"Kaiser Foundation Hospital","3288 Moanalua Rd","Not Available","Honolulu","HI",96819,"(808) 432-0000","General Acute Care Hospital","Open",235,"Honolulu","US",21.3632,-157.9,"http://www.kaiserpermanente.org","Not Available",235,"Not Available","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6028,"Kapiolani Medical Center For Women And Children","1319 Punahou St","Not Available","Honolulu","HI",96826,"(808) 983-6000","Children","Open",225,"Honolulu","US",21.3004,-157.834,"http://www.kapiolani.org","Not Available",225,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6029,"Kau Hospital","1 Kamani St","Not Available","Pahala","HI",96777,"(808) 928-2050","General Acute Care Hospital","Open",21,"Hawaii","US",19.1997,-155.472,"http://www.hhsc.org","Not Available",21,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6030,"MENDOTA MENTAL HLTH INSTITUTE","301 TROY DR","Not Available","Madison","WI",53704,"(608) 301-1000","Psychiatric Hospital","Open",234,"Dane","US",43.1337,-89.3986,"http://www.dhfs.state.wi.us","249",234,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6031,"Interfaith Medical Center","1545 Atlantic Ave","Not Available","Brooklyn","NY",11213,"(718) 613-4000","General Acute Care Hospital","Open",287,"Kings","US",40.6782,-73.9374,"http://www.interfaithmedical.com","1309",287,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6032,"RIPON MED CTR","933 NEWBURY ST","Not Available","Ripon","WI",54971,"(920) 748-3101","General Acute Care Hospital","Open",25,"Fond du Lac","US",43.8347,-88.8367,"http://www.riponmedicalcenter.com","1024",25,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6033,"Kingsbrook Jewish Medical Center","1110 Eastern Parkway","Not Available","Brooklyn","NY",11203,"(718) 604-5000","General Acute Care Hospital","Open",771,"Kings","US",40.659,-73.9332,"http://www.kingsbrook.org","1315",771,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6034,"Kauai Veterans Memorial Hospital","4643 Waimea Canyon Rd","Not Available","Waimea","HI",96796,"(808) 338-9431","General Acute Care Hospital","Open",45,"Kauai","US",21.9609,-159.671,"http://www.kvmh.hhsc.org","Not Available",45,"III","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6035,"UNIVERSITY OF WI HOSPITALS & CLINICS AUTHORITY","600 HIGHLAND AVENUE","Not Available","Madison","WI",53792,"(608) 263-8991","General Acute Care Hospital","Open",566,"Dane","US",43.0766,-89.4318,"http://www.uwhospital.org","125",566,"I","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6036,"Wyckoff Heights Medical Center","374 Stockholm St","Not Available","Brooklyn","NY",11237,"(718) 963-7272","General Acute Care Hospital","Open",350,"Kings","US",40.704,-73.9178,"http://www.wyckoffhospital.org","1318",350,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6037,"Kohala Hospital","54-383  Hospital Rd","Not Available","Kapaau","HI",96755,"(808) 889-6211","General Acute Care Hospital","Open",28,"Hawaii","US",20.2325,-155.797,"http://www.koh.hhsc.org","Not Available",28,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6038,"STOUGHTON HOSPITAL","900 RIDGE ST","Not Available","Stoughton","WI",53589,"(608) 873-6611","General Acute Care Hospital","Open",35,"Dane","US",42.9202,-89.2107,"http://www.stoughtonhospital.com","1046",35,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6039,"Beth Israel Brooklyn","10 Union Square East","Not Available","Brooklyn","NY",10003,"(212) 252-3000","General Acute Care Hospital","Open",212,"Kings","US",40.6188,-73.9428,"http://www.bethisraelny.org/brooklyn/","1324",212,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6040,"Kona Community Hospital","79-1019  Haukapila St","Not Available","Kealakekua","HI",96750,"(808) 322-9311","General Acute Care Hospital","Open",94,"Hawaii","US",19.52,-155.917,"http://www.kch.hhsc.org","Not Available",94,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6041,"UW HLTH PARTNERS - WATERTOWN REGIONAL MEDICAL CTR","125 HOSPITAL DR","Not Available","Watertown","WI",53098,"(920) 261-4210","General Acute Care Hospital","Open",55,"Dodge","US",43.1991,-88.6969,"http://www.uwphwatertown.com","105",55,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6042,"New York Downtown Hospital","170 William St","Not Available","New York","NY",10038,"(212) 312-5000","General Acute Care Hospital","Open",128,"New York","US",40.7104,-74.005,"http://www.downtownhospital.org","1437",128,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6043,"ST MARYS HSPTL SUPERIOR","3500 TOWER AVE","Not Available","Superior","WI",54880,"(715) 817-7000","General Acute Care Hospital","Open",25,"Douglas","US",46.6976,-92.1026,"http://www.essentiahealth.org/EssentiaHealthStMarysHospitalofSup
eriorFoundation/overview.aspx","1032",25,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6044,"Kuakini Medical Center","347 No Kuakini St","Not Available","Honolulu","HI",96817,"(808) 536-2236","General Acute Care Hospital","Open",94,"Honolulu","US",21.322,-157.857,"http://www.kuakini.org","Not Available",94,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6045,"Bellevue Hospital Center","1901 1St Avenue","Not Available","New York","NY",10016,"(212) 423-6262","General Acute Care Hospital","Open",828,"New York","US",40.7391,-73.975,"http://www.nyc.gov/bellevue","1438",828,"I","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6046,"MAYO CLINIC HEALTH SYSTEM EAU CLAIRE HOSPITAL","1221 WHIPPLE ST","Not Available","Eau Claire","WI",54703,"(715) 838-3311","General Acute Care Hospital","Open",204,"Eau Claire","US",44.8128,-91.5123,"http://www.mhs.mayo.edu","48",204,"II","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6047,"Beth Israel Medical Center","16Th St & 1St Ave","Not Available","New York","NY",10003,"(212) 420-2000","General Acute Care Hospital","Open",856,"New York","US",40.7332,-73.9819,"http://www.bethisraelny.org","1439",856,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6048,"Kula Hospital","100 Keokea Place","Not Available","Kula","HI",96790,"(808) 878-1221","General Acute Care Hospital","Open",6,"Maui","US",20.7014,-156.357,"http://www.hhsc.org","Not Available",6,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6049,"OAK LEAF SURGCL HSPTL","3802 OAKWOOD MALL DR","Not Available","Eau Claire","WI",54701,"(715) 831-8130","General Acute Care Hospital","Open",13,"Eau Claire","US",44.775,-91.4415,"http://www.oakleafmedical.com","303",13,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6050,"Harlem Hospital Center","15 West 136Th St.","Not Available","New York","NY",10037,"(212) 491-8400","General Acute Care Hospital","Open",286,"New York","US",40.8147,-73.9389,"http://www.nyc.gov/html/hhc/harlem","1445",286,"I","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6051,"Lanai Community Hospital","628 7th St","Not Available","Lanai City","HI",96763,"(808) 565-6411","Special Hospital","Open",24,"Maui","US",20.8261,-156.918,"http://www.lch.hhsc.org","Not Available",24,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6052,"ST AGNES HSPTL","430 E DIVISON ST","Not Available","Fond Du Lac","WI",54935,"(920) 929-2300","General Acute Care Hospital","Open",174,"Fond du Lac","US",43.7776,-88.431,"http://www.agnesian.com","120",174,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6053,"NYU Hospital for Joint Diseases","301 E 17Th St","Not Available","New York","NY",10003,"(212) 404-4301","General Acute Care Hospital","Open",0,"New York","US",40.7344,-73.9828,"http://hjd.med.nyu.edu/","1446",0,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6054,"BOSCOBEL AREA HEALTH CARE","205 PARKER ST","Not Available","Boscobel","WI",53805,"(608) 375-4112","General Acute Care Hospital","Open",25,"Grant","US",43.1332,-90.708,"http://www.boscobelhealth.com","1048",25,"Not Available","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6055,"Hospital for Special Surgery","535 East 70Th St","Not Available","New York","NY",10021,"(212) 606-1000","General Acute Care Hospital","Open",203,"New York","US",40.7644,-73.9542,"http://www.hss.edu","1447",203,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6056,"Leahi Hospital","3675 Kilauea Avenue","Not Available","Honolulu","HI",96816,"(808) 733-8000","Special Hospital","Open",164,"Honolulu","US",21.2733,-157.801,"http://www.hhsc.org","Not Available",164,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6057,"GRANT REG HLTH CTR","507 S MONROE ST","Not Available","Lancaster","WI",53813,"(608) 723-2143","General Acute Care Hospital","Open",8,"Grant","US",42.8439,-90.7089,"http://www.grantregional.com","1025",8,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6058,"Lenox Hill Hospital","100 E 77Th St","Not Available","New York","NY",10021,"(212) 434-2000","General Acute Care Hospital","Open",0,"New York","US",40.7737,-73.9609,"http://www.lenoxhillhospital.org","1450",0,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6059,"Maui Memorial Medical Center","221 Mahalani St","Not Available","Wailuku","HI",96793,"(808) 442-5101","General Acute Care Hospital","Open",213,"Maui","US",20.8845,-156.489,"http://www.mmmc.hhsc.org","Not Available",213,"III","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6060,"SOUTHWEST HEALTH CARE GEROPSYCH UNIT","1185 NORTH ELM STREET","Not Available","Platteville","WI",53818,"(608) 348-2331","Psychiatric Hospital","Open",25,"Grant","US",42.7449,-90.4791,"http://www.southwesthealth.org","1063",25,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6061,"Metropolitan Hospital Center","1901 1St Ave","Not Available","New York","NY",10029,"(212) 230-6262","General Acute Care Hospital","Open",324,"New York","US",40.7849,-73.9445,"http://www.nyc.gov/html/hhc/mhc/html/home/home.shtml","1454",324,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6062,"Molokai General Hospital","280 Home Olu Pl","Not Available","Kaunakakai","HI",96748,"(808) 553-5331","General Acute Care Hospital","Open",15,"Maui","US",21.0941,-157.017,"http://www.queens.org","Not Available",15,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6063,"Memorial Sloan-Kettering Cancer Center Rockville Centre","1000 N Village Ave","Not Available","Commack","NY",10021,"(212) 227-3554","Special Hospital","Open",0,"New York","US",40.7643,-73.9566,"http://www.mskcc.org/cancer-care/suburban-outpatient/msk-center-rockville-centre","1453",0,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6064,"BERLIN MEMORIAL HOSPITAL","225 MEMORIAL DRIVE","Not Available","Berlin","WI",54923,"(920) 361-1313","General Acute Care Hospital","Open",75,"Green Lake","US",43.9785,-88.9412,"http://www.chnwi.org","1060",75,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6065,"North Hawaii Community Hospital","67-1125 Mamalahoa Hwy","Not Available","Kamuela","HI",96743,"(808) 885-4444","General Acute Care Hospital","Open",33,"Hawaii","US",20.0223,-155.664,"http://www.northhawaiicommunityhospital.org","Not Available",33,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6066,"New York Eye and Ear Infirmary","310 E 14Th St","Not Available","New York","NY",10003,"(212) 979-4000","General Acute Care Hospital","Open",32,"New York","US",40.7319,-73.9845,"http://www.nyee.edu","1460",32,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6067,"SOUTHWEST HEALTH CENTER INC","1400 EAST SIDE RD","Not Available","Platteville","WI",53818,"(608) 342-4701","General Acute Care Hospital","Open",119,"Grant","US",42.7196,-90.4582,"http://www.southwesthealth.org","1059",119,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6068,"NYU Imaging Center","160 E 34Th St","Not Available","New York","NY",10003,"(212) 261-8686","General Acute Care Hospital","Open",0,"New York","US",40.7457,-73.9787,"http://www.med.nyu.edu/di/aboutus/","1463",0,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6069,"Pali Momi Medical Center","98-1079  Moanalua Rd","Not Available","Aiea","HI",96701,"(808) 486-6000","General Acute Care Hospital","Open",126,"Honolulu","US",21.3835,-157.939,"http://www.kapiolani.org","Not Available",126,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6070,"THE MONROE CLINIC","2005 5TH STREET","Not Available","Monroe","WI",53566,"(608) 324-1000","General Acute Care Hospital","Open",50,"Green","US",42.6086,-89.6346,"http://www.monroeclinic.org","56",50,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6071,"NYP Morgan Stanley Children's Hospital","3959 Broadway","Not Available","New York","NY",10032,"(212) 304-5164","Children","Open",190,"New York","US",40.8398,-73.9413,"http://childrensnyp.org/mschony/","1464",190,"I","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6072,"Queens Medical Center","1301 Punchbowl Street","Not Available","Honolulu","HI",96813,"(808) 538-9011","General Acute Care Hospital","Open",495,"Honolulu","US",21.308,-157.854,"http://www.queens.org","Not Available",495,"II","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6073,"UPLAND HILLS HLTH","800 COMPASSION WAY","Not Available","Dodgeville","WI",53533,"(608) 930-8000","General Acute Care Hospital","Open",69,"Iowa","US",42.9513,-90.1295,"http://www.uplandhillshealth.org","1056",69,"Not Available","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6074,"Mount Sinai Hospital","1 Gustave L Levy Pl","Not Available","Long Island City","NY",10001,"(212) 241-1000","General Acute Care Hospital","Open",0,"New York","US",40.7898,-73.9532,"http://www.mountsinai.org","1456",0,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6075,"Rehabilitation Hospital Of The Pacific","226 No Kuakini St","Not Available","Honolulu","HI",96817,"(808) 531-3511","Rehabilitation Hospital","Open",66,"Honolulu","US",21.3214,-157.854,"http://www.rehabhospital.org","Not Available",66,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6076,"Samuel Mahelona  Memorial Hospital","4800 Kawaihau Rd","Not Available","Kapaa","HI",96746,"(808) 822-4961","General Acute Care Hospital","Open",80,"Kauai","US",22.0878,-159.313,"http://www.smmh.hhsc.org","Not Available",80,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6077,"The Addiction Institute of New York","1000 10Th Ave","Not Available","New York","NY",10019,"(212) 256-3800","Psychiatric Hospital","Open",0,"New York","US",40.7699,-73.9869,"http://www.stlukeshospitalnyc.org/Addiction.aspx","1466",0,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6078,"Shriners Hospital For  Children","1310 Punahou St","Not Available","Honolulu","HI",96826,"(808) 941-4466","Children","Open",16,"Honolulu","US",21.3005,-157.835,"http://www.shrinershospitalsforchildren.org/Hospitals/Locations/Hon
olulu.aspx","Not Available",16,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6079,"FORT HEALTHCARE","611 SHERMAN AVE E","Not Available","Fort Atkinson","WI",53538,"(920) 568-5000","General Acute Care Hospital","Open",72,"Jefferson","US",42.9311,-88.828,"http://www.forthealthcare.com","133",72,"Not Available","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6080,"Straub Clinic And  Hospital","888 So King St","Not Available","Honolulu","HI",96813,"(808) 522-4000","General Acute Care Hospital","Open",111,"Honolulu","US",21.3029,-157.851,"http://www.straubhealth.org","Not Available",111,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6081,"Gracie Square Hospital","36-11 21St St","Not Available","Long Island City","NY",10021,"(212) 297-4468","General Acute Care Hospital","Open",157,"New York","US",40.7697,-73.953,"http://www.nygsh.org","1458",157,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6082,"BLACK RIVER MEM HSPTL","711 W ADAMS ST","Not Available","Black River Falls","WI",54615,"(715) 284-5361","General Acute Care Hospital","Open",25,"Jackson","US",44.3032,-90.8551,"http://www.brmh.net","1037",25,"Not Available","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6083,"Lindsborg Community Hospital","605 W LINCOLN STREET","Not Available","Lindsborg","KS",67456,"(785) 2273308","General Acute Care Hospital","Open",25,"McPherson","US",38.573,-97.6835,"http://www.lindsborghospital.org","H059001",25,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6084,"Coler Specialty Hospital","900 Main Street","Not Available","Roosevelt Island","NY",10044,"(212) 848-6000","Long Term Care Hospital","Open",1000,"New York","US",40.7703,-73.9421,"http://www.nyc.gov/html/hhc/coler-goldwater/home.html","1487",1000,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
