hospital_name,address,city,state,zip,type,status,population,county,country,latitude,longitude,website,beds,trauma,helipad,childrens hospital
FAITH COMMUNITY HOSPITAL,215 CHISHOLM TRAIL,JACKSBORO,TX,76458,GENERAL ACUTE CARE,OPEN,17,JACK,USA,33.23066769,-98.16693865,https://www.fchtexas.com,17.0,LEVEL IV,Y,nan
COVENANT MEDICAL CENTER - LAKESIDE,4000 24TH STREET,LUBBOCK,TX,79410,GENERAL ACUTE CARE,OPEN,196,LUBBOCK,USA,33.57339136,-101.9019483,http://www.covenanthealth.org/,196.0,NOT AVAILABLE,NOT AVAILABLE,nan
WOODLANDS SPECIALTY HOSPITAL PLLC,25440 I 45 NORTH,THE WOODLANDS,TX,77386,GENERAL ACUTE CARE,OPEN,6,MONTGOMERY,USA,30.13090069,-95.44302258,http://woodlandsspecialtyhospital.com/,6.0,NOT AVAILABLE,N,nan
CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI SHORELINE,600 ELIZABETH STREET,CORPUS CHRISTI,TX,78404,GENERAL ACUTE CARE,OPEN,557,NUECES,USA,27.77809368,-97.39474791,http://www.christusspohn.org/Shoreline,557.0,NOT AVAILABLE,Y,nan
THE CORPUS CHRISTI MEDICAL CENTER - NORTHWEST,13725 NORTHWEST BLVD,CORPUS CHRISTI,TX,78410,GENERAL ACUTE CARE,OPEN,89,NUECES,USA,27.85491733,-97.63542317,http://ccmedicalcenter.com/,89.0,NOT AVAILABLE,Y,nan
REAGAN MEMORIAL HOSPITAL,1300 N MAIN AVE,BIG LAKE,TX,76932,GENERAL ACUTE CARE,OPEN,7,REAGAN,USA,31.20401254,-101.4610176,http://reaganhealth.com/,7.0,NOT AVAILABLE,NOT AVAILABLE,nan
BAYLOR EMERGENCY MEDICAL CENTER,"1975 ALPHA,SUITE 100",ROCKWALL,TX,75087,GENERAL ACUTE CARE,OPEN,8,ROCKWALL,USA,32.9140952,-96.44469769,http://www.bayloremc.com/rockwall/,8.0,NOT AVAILABLE,NOT AVAILABLE,nan
BAYLOR EMERGENCY MEDICAL CENTER,"620 SOUTH MAIN,SUITE 100",KELLER,TX,76248,GENERAL ACUTE CARE,OPEN,8,TARRANT,USA,32.92816374,-97.2547307,http://www.bayloremc.com/,8.0,NOT AVAILABLE,N,nan
BAYLOR EMERGENCY MEDICAL CENTER,"12500 SOUTH FREEWAY,SUITE 100",BURLESON,TX,76028,GENERAL ACUTE CARE,OPEN,8,TARRANT,USA,32.57542408,-97.32118572,http://www.bayloremc.com/,8.0,NOT AVAILABLE,N,nan
BAYLOR EMERGENCY MEDICAL CENTER,"1776 NORTH US 287,SUITE 100",MANSFIELD,TX,76063,GENERAL ACUTE CARE,OPEN,8,TARRANT,USA,32.59672241,-97.14487705,http://www.bayloremc.com/,8.0,NOT AVAILABLE,N,nan
TRINITY HOSPITAL - SAINT JOSEPHS,407 3RD STREET SOUTHEAST,MINOT,ND,58701,GENERAL ACUTE CARE,OPEN,251,WARD,USA,48.23216459,-101.2872043,http://www.trinityhealth.org/,251.0,NOT AVAILABLE,NOT AVAILABLE,nan
BAYLOR EMERGENCY MEDICAL CENTER,5500 COLLEYVILLE BOULEVARD,COLLEYVILLE,TX,76034,GENERAL ACUTE CARE,OPEN,8,TARRANT,USA,32.88879527,-97.1511153,http://www.bayloremc.com/,8.0,NOT AVAILABLE,N,nan
MEDICAL CENTER OF ALLIANCE,3101 NORTH TARRANT PARKWAY,FORT WORTH,TX,76177,GENERAL ACUTE CARE,OPEN,55,TARRANT,USA,32.90029252,-97.31392872,http://medicalcityalliance.com/,55.0,NOT AVAILABLE,Y,nan
TEXAS HEALTH HOSPITAL CLEARFORK,5400 CLEARFORK MAIN ST,FORT WORTH,TX,76109,GENERAL ACUTE CARE,OPEN,54,TARRANT,USA,32.70806442,-97.40231314,https://www.texashealth.org/clearfork/Pages/default.aspx,54.0,NOT AVAILABLE,NOT AVAILABLE,nan
SHANNON MEDICAL CENTER ST JOHNS CAMPUS,2018 PULLIAM STREET,SAN ANGELO,TX,76905,GENERAL ACUTE CARE,OPEN,108,TOM GREEN,USA,31.4717117,-100.4024438,http://www.shannonhealth.com/,108.0,NOT AVAILABLE,NOT AVAILABLE,nan
DETAR NORTH,101 MEDICAL DRIVE,VICTORIA,TX,77904,GENERAL ACUTE CARE,OPEN,115,VICTORIA,USA,28.85434036,-97.01968631,http://www.detar.com/DeTar-Healthcare-System/home.aspx,115.0,LEVEL IV,Y,nan
CENTRA LYNCHBURG GENERAL HOSPITAL,1901 TATE SPRINGS ROAD,LYNCHBURG,VA,24501,GENERAL ACUTE CARE,OPEN,385,LYNCHBURG,USA,37.41701527,-79.17157799,https://www.centrahealth.com/facilities/centra-lynchburg-general-hospital,385.0,II,Y,nan
SHELTERING ARMS REHABILITATION HOSPITAL,8254 ATLEE ROAD,MECHANICSVILLE,VA,23116,REHABILITATION,OPEN,40,HANOVER,USA,37.62767133,-77.38713225,NOT AVAILABLE,40.0,NOT AVAILABLE,NOT AVAILABLE,nan
WINCHESTER REHABILITATION CENTER,333 WEST CORK STREET,WINCHESTER,VA,22601,REHABILITATION,OPEN,-999,WINCHESTER,USA,39.18315586,-78.17239498,http://www.valleyhealthlink.com/Our-Locations/Inpatient-Outpatient-Rehabilitation/Winchester-Rehabilitation-Center-Inpatient-.aspx,-999.0,NOT AVAILABLE,NOT AVAILABLE,nan
SENTARA RMH MEDICAL CENTER,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,GENERAL ACUTE CARE,OPEN,238,ROCKINGHAM,USA,38.40478676,-78.85547297,www.rmhonline.com,238.0,NOT AVAILABLE,NOT AVAILABLE,nan
JOHNSTON MEMORIAL HOSPITAL,16000 JOHNSTON MEMORIAL DRIVE,ABINGDON,VA,24211,GENERAL ACUTE CARE,OPEN,116,WASHINGTON,USA,36.72291339,-81.91212146,www.jmh.org,116.0,NOT AVAILABLE,Y,nan
VALLEY HEALTH SHENANDOAH MEMORIAL HOSPITAL,759 SOUTH MAIN STREET,WOODSTOCK,VA,22664,CRITICAL ACCESS,OPEN,25,SHENANDOAH,USA,38.8702953,-78.51268401,www.valleyhealthlink.com,25.0,NOT AVAILABLE,Y,nan
NAVOS,2600 SW HOLDEN STREET,SEATTLE,WA,98168,PSYCHIATRIC,OPEN,40,KING,USA,47.53407121,-122.3661718,https://www.navos.org/,40.0,NOT AVAILABLE,NOT AVAILABLE,nan
WISE REGIONAL HEALTH SYSTEM,609 MEDICAL CENTER DR,DECATUR,TX,76234,GENERAL ACUTE CARE,OPEN,99,WISE,USA,33.21710703,-97.5937157,http://www.wiseregional.com,99.0,LEVEL IV,Y,nan
NORFOLK REGIONAL CENTER,1700 NORTH VICTORY RD,NORFOLK,NE,68701,PSYCHIATRIC,OPEN,150,MADISON,USA,42.05069795,-97.38426911,http://www.hhss.ne.gov/beh/rc/nrcserv.htm,150.0,NOT AVAILABLE,NOT AVAILABLE,nan
CHI HEALTH ST MARY'S,1301 GRUNDMAN BLVD,NEBRASKA CITY,NE,68410,CRITICAL ACCESS,OPEN,18,OTOE,USA,40.6799737,-95.86239282,http://chihealthstmarys.com/,18.0,LEVEL IV,Y,nan
FAITH REGIONAL HEALTH SERVICES,2700 WEST NORFOLK AVE,NORFOLK,NE,68701,GENERAL ACUTE CARE,OPEN,111,MADISON,USA,42.03389283,-97.45268418,http://www.frhs.org,111.0,LEVEL III,Y,nan
FAITH REGIONAL HEALTH SERVICES EAST CAMPUS,1500 KOENIGSTEIN AVE,NORFOLK,NE,68701,GENERAL ACUTE CARE,OPEN,20,MADISON,USA,42.03435234,-97.43103267,http://www.frhs.org,20.0,NOT AVAILABLE,NOT AVAILABLE,nan
GREAT PLAINS REGIONAL MEDICAL CENTER,601 WEST LEOTA ST,NORTH PLATTE,NE,69101,GENERAL ACUTE CARE,OPEN,116,LINCOLN,USA,41.12173395,-100.7699743,http://www.gprmc.com,116.0,LEVEL III,Y,nan
ST JOSEPH'S HOSPITAL AND HEALTH CENTER,2500 FAIRWAY STREET,DICKINSON,ND,58601,CRITICAL ACCESS,OPEN,25,STARK,USA,46.88907589,-102.8205504,http://chistjosephshealth.org/,25.0,NOT AVAILABLE,Y,nan
ST. LUKE'S REHABILITATION,600 N. ROBBINS ROAD,BOISE,ID,83702,REHABILITATION,OPEN,-999,ADA,USA,43.61558765,-116.1915765,https://www.stlukesonline.org/health-services/service-groups/rehabilitation.,-999.0,NOT AVAILABLE,NOT AVAILABLE,nan
ST. LUKE'S MERIDIAN MEDICAL CENTER,520 S. EAGLE ROAD,MERIDIAN,ID,83642,SPECIAL,OPEN,-999,ADA,USA,43.59969652,-116.3526083,NOT AVAILABLE,-999.0,NOT AVAILABLE,NOT AVAILABLE,nan
ST. LUKE'S REGIONAL MEDICAL CENTER,190 EAST BANNOCK STREET,BOISE,ID,83712,GENERAL ACUTE CARE,OPEN,604,ADA,USA,43.61256538,-116.1924492,NOT AVAILABLE,604.0,NOT AVAILABLE,NOT AVAILABLE,nan
VIBRA HOSPITAL OF BOISE,2131 SOUTH BONITO WAY,MERIDIAN,ID,83642,GENERAL ACUTE CARE,OPEN,60,ADA,USA,43.58594689,-116.3586157,http://vhboise.com/,60.0,NOT AVAILABLE,NOT AVAILABLE,nan
CAROLINAS HEALTHCARE SYSTEM UNION,600 HOSPITAL DRIVE,MONROE,NC,28111,GENERAL ACUTE CARE,OPEN,227,UNION,USA,34.97570679,-80.52284241,http://www.carolinashealthcare.org/cmc-uniong,227.0,NOT AVAILABLE,Y,nan
WAKEMED NORTH,10000 FALLS OF NEUSE ROAD,RALEIGH,NC,27614,GENERAL ACUTE CARE,OPEN,61,WAKE,USA,35.90908232,-78.59783739,http://www.wakemed.org/landing.cfm?id=1848,61.0,NOT AVAILABLE,NOT AVAILABLE,nan
VIBRA HOSPITAL OF FORT WAYNE,"2200 RANDALLIA DRIVE,5TH FLOOR",FORT WAYNE,IN,46805,LONG TERM CARE,OPEN,-999,ALLEN,USA,41.09617146,-85.11021903,NOT AVAILABLE,48.0,NOT AVAILABLE,NOT AVAILABLE,nan
ALTRU SPECIALTY HOSPITAL,4500 S WASHINGTON ST,GRAND FORKS,ND,58201,GENERAL ACUTE CARE,OPEN,45,GRAND FORKS,USA,47.87696081,-97.04744399,http://www.altru.org/find-a-location/location-profile/?id=58,45.0,NOT AVAILABLE,NOT AVAILABLE,nan
PEMBINA COUNTY MEMORIAL HOSPITAL,301 MOUNTAIN ST E,CAVALIER,ND,58220,CRITICAL ACCESS,OPEN,20,PEMBINA,USA,48.7925461,-97.61871696,www.cavalierhospital.com,20.0,NOT AVAILABLE,NOT AVAILABLE,nan
SANFORD MEDICAL CENTER FARGO,5225 23RD AVE S,FARGO,ND,58103,GENERAL ACUTE CARE,OPEN,228,CASS,USA,46.8452189,-96.87577895,http://www.sanfordhealth.org/,228.0,NOT AVAILABLE,Y,nan
LOGANSPORT STATE HOSPITAL,1098 S SR 25,LOGANSPORT,IN,46947,PSYCHIATRIC,OPEN,-999,CASS,USA,40.74169664,-86.40061387,NOT AVAILABLE,-999.0,NOT AVAILABLE,NOT AVAILABLE,nan
SANFORD TRANSPLANT CENTER,736 BROADWAY,FARGO,ND,58122,GENERAL ACUTE CARE,OPEN,-999,CASS,USA,46.884298,-96.788422,http://www.sanfordhealth.org/,-999.0,NOT AVAILABLE,N,nan
COMMUNITY HOSPITAL ONAGA LTCU,206 GRAND AVE,ST MARYS,KS,66536,LONG TERM CARE,OPEN,-999,POTTAWATOMIE,USA,39.18859027,-96.06110542,NOT AVAILABLE,-999.0,NOT AVAILABLE,NOT AVAILABLE,nan
ALLEN COUNTY REGIONAL HOSPITAL,3066 NORTH KENTUCKY STREET,IOLA,KS,67701,CRITICAL ACCESS,OPEN,-999,ALLEN,USA,37.94879933,-95.39173385,NOT AVAILABLE,-999.0,LEVEL IV,Y,nan
ST. LUKE'S WOOD RIVER MEDICAL CENTER,100 HOSPITAL DRIVE,KETCHUM,ID,83340,SPECIAL,OPEN,25,BLAINE,USA,43.64832025,-114.350021,NOT AVAILABLE,25.0,NOT AVAILABLE,NOT AVAILABLE,nan
NELL J. REDFIELD MEMORIAL HOSPITAL,150 NORTH 200 WEST,MALAD CITY,ID,83252,GENERAL ACUTE CARE,OPEN,11,ONEIDA,USA,42.18941981,-112.2503325,NOT AVAILABLE,11.0,NOT AVAILABLE,NOT AVAILABLE,nan
COFFEY COUNTY HOSPITAL LTCU,128 S PEARSON AVE,WAVERLY,KS,66871,LONG TERM CARE,OPEN,-999,COFFEY,USA,38.38818202,-95.59962994,NOT AVAILABLE,-999.0,NOT AVAILABLE,NOT AVAILABLE,nan
GRISELL MEMORIAL HOSPITAL LTCU,330 S VERMONT PO BOX 268,RANSOM,KS,67572,LONG TERM CARE,OPEN,-999,NESS,USA,38.63600977,-99.93124705,NOT AVAILABLE,-999.0,NOT AVAILABLE,NOT AVAILABLE,nan
UNIVERSITY OF TEXAS MEDICAL BRANCH HOSPITAL,301 UNIVERSITY BOULEVARD,GALVESTON,TX,77550,GENERAL ACUTE CARE,OPEN,370,GALVESTON,USA,29.31120096,-94.77715943,http://www.utmb.edu,370.0,LEVEL I,Y,nan
LAKE GRANBURY MEDICAL CENTER,1310 PALUXY ROAD,GREENVILLE,TX,76048,GENERAL ACUTE CARE,OPEN,83,HOOD,USA,32.43248931,-97.8038485,http://www.lakegranburymedicalcenter.com/Lake-Granbury-Medical-Center/Home.aspx,83.0,LEVEL IV,Y,nan
LIMESTONE MEDICAL CENTER,701 MCCLINTIC DR.,HAMLIN,TX,76642,CRITICAL ACCESS,OPEN,20,LIMESTONE,USA,31.53271119,-96.53121111,http://www.lmchospital.com,20.0,LEVEL IV,NOT AVAILABLE,nan
MARIAN CENTER,451 EAST BISHOP FEDERAL LANE,SALT LAKE CITY,UT,84115,CRITICAL ACCESS,CLOSED,-999,SALT LAKE,USA,40.72827209,-111.8779698,NOT AVAILABLE,-999.0,NOT AVAILABLE,NOT AVAILABLE,nan
CENTER FOR CHANGE,1790 NORTH STATE STREET,OREM,UT,84097,PSYCHIATRIC,OPEN,-999,UTAH,USA,40.32993455,-111.7084276,NOT AVAILABLE,-999.0,NOT AVAILABLE,NOT AVAILABLE,nan
BLUE MOUNTAIN HOSPITAL,802 SOUTH 200 WEST,BLANDING,UT,84511,CRITICAL ACCESS,OPEN,-999,SAN JUAN,USA,37.61306643,-109.4824861,NOT AVAILABLE,-999.0,NOT AVAILABLE,NOT AVAILABLE,nan
LDS HOSPITAL,324 8TH AVENUE,SALT LAKE CITY,UT,84143,GENERAL ACUTE CARE,OPEN,241,SALT LAKE,USA,40.77822379,-111.8798219,https://intermountainhealthcare.org/locations/lds-hospital/,241.0,NOT AVAILABLE,Y,nan
CHEROKEE NATION W. W. HASTINGS HOSPITAL,100 SOUTH BLISS AVENUE,TAHLEQUAH,OK,74464,CRITICAL ACCESS,OPEN,-999,CHEROKEE,USA,35.91183147,-94.9505388,http://www.cherokee.org/Services/Health/30866/Information.aspx,-999.0,NOT AVAILABLE,NOT AVAILABLE,nan
LAWTON HOSPITAL,1515 LAWRIE TATUM ROAD,LAWTON,OK,73507,CRITICAL ACCESS,OPEN,26,COMANCHE,USA,34.62759832,-98.38424195,http://lawton.oklahoma.ihs.gov/,26.0,NOT AVAILABLE,NOT AVAILABLE,nan
HOLLY HILL HOSPITAL,3019 FALSTAFF RD,RALEIGH,NC,27610,PSYCHIATRIC,OPEN,-999,WAKE,USA,35.78277375,-78.58392113,https://hollyhillhospital.com/,-999.0,NOT AVAILABLE,N,nan
KIOWA DISTRICT HOSPITAL,1002 SOUTH 4TH STREET,KIOWA,KS,67070,CRITICAL ACCESS,OPEN,10,BARBER,USA,37.00769961,-98.48857262,http://www.k-d-h.com/,10.0,NOT AVAILABLE,Y,nan
BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DRIVE,JUNEAU,AK,99801,CRITICAL ACCESS,OPEN,-999,JUNEAU,USA,58.32907951,-134.4651526,http://www.bartletthospital.org,-999.0,LEVEL IV,Y,nan
MEMORIAL HERMANN SOUTHWEST HOSPITAL,7600 BEECHNUT STREET,HOUSTON,TX,77074,GENERAL ACUTE CARE,OPEN,547,HARRIS,USA,29.69271807,-95.52115311,http://www.memorialhermann.org/locations/southwest/,547.0,LEVEL III,Y,nan
MS BAND OF CHOCTAW HOSPITAL,210 HOSPITAL CIRCLE,CHOCTAW,MS,39350,CRITICAL ACCESS,OPEN,-999,NESHOBA,USA,32.7823732,-89.23075186,NOT AVAILABLE,-999.0,NOT AVAILABLE,NOT AVAILABLE,nan
CHICKASAW NATION MEDICAL CENTER,1921 STONECIPHER BLVD.,ADA,OK,74820,CRITICAL ACCESS,OPEN,-999,PONTOTOC,USA,34.73116768,-96.64541977,http://www.chickasaw.net/services/index_5311.htm,-999.0,NOT AVAILABLE,NOT AVAILABLE,nan
ZUNI COMPREHENSIVE COMMUNITY HEALTH CENTER,ROUTE 301 NORTH “B” STREET,ZUNI,NM,87327,CRITICAL ACCESS,OPEN,28,MCKINLEY,USA,35.08720767,-108.7911268,https://www.ihs.gov/Albuquerque/healthcarefacilities/zuniramah/,28.0,NOT AVAILABLE,NOT AVAILABLE,nan
CYPRESS FAIRBANKS MEDICAL CENTER,10655 STEEPLETOP DRIVE,HOUSTON,TX,77065,GENERAL ACUTE CARE,OPEN,180,HARRIS,USA,29.92712973,-95.58969896,http://www.cyfairhospital.com,180.0,LEVEL III,Y,nan
CHOCTAW NATION INDIAN HOSPITAL (TALIHINA),ONE CHOCTAW WAY,TALIHINA,OK,74571,CRITICAL ACCESS,OPEN,-999,LATIMER,USA,34.75548842,-95.08413084,http://choctawnationhealth.com/1choctaw-nation-health-care-center.aspx,-999.0,NOT AVAILABLE,NOT AVAILABLE,nan
CLAREMORE HOSPITAL,101 S MOORE AVENUE (SOUTH MOORE & WILL ROGERS BLVD),CLAREMORE,OK,74017,CRITICAL ACCESS,OPEN,-999,ROGERS,USA,36.31610206,-95.6292859,http://www.ihs.gov/oklahoma/index.cfm?module=dsp_okao_su_claremore,-999.0,NOT AVAILABLE,NOT AVAILABLE,nan
ROSEBUD HOSPITAL,"BIA ROUTE 1, SOLDER CREEK ROAD",ROSEBUD,SD,57570,CRITICAL ACCESS,OPEN,35,TODD,USA,43.25674297,-100.8506097,https://www.ihs.gov/greatplains/healthcarefacilities/rosebud/,35.0,NOT AVAILABLE,NOT AVAILABLE,nan
PINE RIDGE HOSPITAL,HWY 18 EAST,PINE RIDGE,SD,57770,CRITICAL ACCESS,OPEN,45,SHANNON,USA,43.02367851,-102.5412902,https://www.ihs.gov/greatplains/healthcarefacilities/pineridge/,45.0,NOT AVAILABLE,NOT AVAILABLE,nan
WINNEBAGO HOSPITAL,US HIGHWAY 77-75,WINNEBAGO,NE,68071,CRITICAL ACCESS,OPEN,-999,THURSTON,USA,42.2325136,-96.47063294,http://www.ihs.gov/aberdeen/winnebago/,-999.0,NOT AVAILABLE,NOT AVAILABLE,nan
BLACKFEET COMMUNITY HOSPITAL,760 HOSPITAL CIRCLE,BROWNING,MT,59417,CRITICAL ACCESS,OPEN,-999,GLACIER,USA,48.5656912,-113.0197302,http://www.ihs.gov/billings/index.cfm?module=bao_su_blackfeet,-999.0,NOT AVAILABLE,NOT AVAILABLE,nan
IRWIN ARMY COMMUNITY HOSPITAL,600 CAISSON HILL RD,FORT RILEY,KS,66442,MILITARY,OPEN,-999,GEARY,USA,39.07919232,-96.77244571,http://iach.amedd.army.mil/,-999.0,NOT AVAILABLE,Y,nan
NAVAL HOSPITAL BEAUFORT,1 PINCKNEY BLVD,BEAUFORT,SC,29902,MILITARY,OPEN,-999,BEAUFORT,USA,32.3894647,-80.68227993,http://www.med.navy.mil/sites/nhbeaufort/Pages/Welcome_Page.aspx,-999.0,NOT AVAILABLE,N,nan
BASSETT ARMY COMMUNITY HOSPITAL,4076 NEELY RD,FORT WAINWRIGHT,AK,99703,MILITARY,OPEN,-999,FAIRBANKS NORTH STAR,USA,64.82970024,-147.6622292,www.alaska.amedd.army.mil/,-999.0,NOT DESIGNATED,Y,nan
NAVAL MEDICAL CENTER PORTSMOUTH,620 JOHN PAUL JONES CIRCLE,PORTSMOUTH,VA,23708,MILITARY,OPEN,-999,PORTSMOUTH,USA,36.84541393,-76.30576791,http://www.med.navy.mil/sites/NMCP2/Pages/Default.aspx,-999.0,NOT AVAILABLE,Y,nan
99TH MEDICAL GROUP - MIKE O'CALLAGHAN FEDERAL MEDICAL CENTER,4700 LAS VEGAS BLVD N,NELLIS AFB,NV,89191,MILITARY,OPEN,-999,CLARK,USA,36.24602701,-115.0492819,http://www.nellis.af.mil/units/nellismedicalcenter/index.asp,-999.0,NOT AVAILABLE,N,nan
NAVAL HOSPITAL PENSACOLA,6000 WEST HIGHWAY 98,PENSACOLA,FL,32512,MILITARY,OPEN,-999,ESCAMBIA,USA,30.39856995,-87.29861569,http://www.med.navy.mil/SITES/PCOLA/Pages/default.aspx,-999.0,NOT AVAILABLE,Y,nan
88TH MEDICAL GROUP - WRIGHT-PATTERSON AIR FORCE BASE MEDICAL CENTER,4881 SUGAR MAPLE DR,WRIGHT PATTERSON AFB,OH,45433,MILITARY,OPEN,-999,GREENE,USA,39.80534785,-84.03740713,http://www.wpafb.af.mil/units/wpmc/index.asp,-999.0,NOT AVAILABLE,N,nan
REYNOLDS ARMY COMMUNITY HOSPITAL,4301 WILSON ST,FORT SILL,OK,73503,MILITARY,OPEN,-999,COMANCHE,USA,34.6523867,-98.41460698,http://www.rach.sill.amedd.army.mil/,-999.0,NOT AVAILABLE,Y,nan
FORT BELVOIR COMMUNITY HOSPITAL,9300 DEWITT LOOP,FORT BELVOIR,VA,22060,MILITARY,OPEN,-999,FAIRFAX,USA,38.70560252,-77.14368028,www.fbch.capmed.mil/,-999.0,NOT AVAILABLE,Y,nan
MONCRIEF ARMY COMMUNITY HOSPITAL,4500 STUART ST,FORT JACKSON,SC,29206,MILITARY,OPEN,-999,RICHLAND,USA,34.01192613,-80.93778994,http://www.moncrief.amedd.army.mil/,-999.0,NOT AVAILABLE,N,nan
FORT LEONARD WOOD ARMY COMMUNITY HOSPITAL,126 MISSOURI AVE,FORT LEONARD WOOD,MO,65473,MILITARY,OPEN,-999,PULASKI,USA,37.76616456,-92.11483258,http://glwach.amedd.army.mil/,-999.0,NOT AVAILABLE,Y,nan
STRATEGIC BEHAVIORAL CENTER GARNER,3200 WATERFIELD ROAD,GARNER,NC,27529,PSYCHIATRIC,OPEN,-999,WAKE,USA,35.67803419,-78.56140828,http://sbcraleigh.com/,-999.0,NOT AVAILABLE,N,nan
KINDRED HOSPITAL - TARRANT COUNTY,1000 NORTH COOPER STREET,ARLINGTON,TX,76011,LONG TERM CARE,OPEN,68,TARRANT,USA,32.75055987,-97.11406781,http://www.kindredhospitalarl.com/,68.0,NOT AVAILABLE,NOT AVAILABLE,nan
ALASKA VA HEALTHCARE SYSTEM,1201 N MULDOON RD,ANCHORAGE,AK,99504,MILITARY,OPEN,-999,ANCHORAGE,USA,61.23278802,-149.7445305,http://www.alaska.va.gov/,-999.0,NOT AVAILABLE,Y,nan
VA MEDICAL CENTER - NEWINGTON CAMPUS,555 WILLARD AVE,NEWINGTON,CT,6111,MILITARY,OPEN,-999,HARTFORD,USA,41.70168559,-72.74061649,http://www.connecticut.va.gov/,-999.0,NOT AVAILABLE,N,nan
JAMES A. HALEY VETERANS' HOSPITAL PRIMARY CARE ANNEX,13515 LAKE TERRACE LANE,TAMPA,FL,33637,MILITARY,OPEN,-999,HILLSBOROUGH,USA,28.07039609,-82.35733765,http://www.va.gov/directory/guide/facility.asp?ID=6374&dnum=1,-999.0,NOT AVAILABLE,N,nan
VA MEDICAL CENTER - FORT WAYNE CAMPUS,2121 LAKE AVE,FORT WAYNE,IN,46805,MILITARY,OPEN,-999,ALLEN,USA,41.09078646,-85.10951788,http://www.northernindiana.va.gov/,-999.0,NOT AVAILABLE,N,nan
ROBERT J. DOLE VA MEDICAL CENTER,5500 E KELLOGG AVE,WICHITA,KS,67218,MILITARY,OPEN,-999,SEDGWICK,USA,37.6812338,-97.27464126,http://www.wichita.va.gov/,-999.0,NOT AVAILABLE,N,nan
